dataset,method,seed,test_accuracy
Cora,baseline,0,0.7130
Cora,baseline,1,0.6980
Cora,baseline,2,0.6920
Cora,baseline,3,0.7060
Cora,baseline,4,0.7020
Cora,cluster-flat (1.25/1.0),0,0.6980
Cora,cluster-flat (1.25/1.0),1,0.7070
Cora,cluster-flat (1.25/1.0),2,0.6920
Cora,cluster-flat (1.25/1.0),3,0.6940
Cora,cluster-flat (1.25/1.0),4,0.7180
Cora,cluster-multiscale (1.5/1.0),0,0.7000
Cora,cluster-multiscale (1.5/1.0),1,0.7030
Cora,cluster-multiscale (1.5/1.0),2,0.7220
Cora,cluster-multiscale (1.5/1.0),3,0.7020
Cora,cluster-multiscale (1.5/1.0),4,0.7090
Cora,cluster-flat (2.0/0.5),0,0.6880
Cora,cluster-flat (2.0/0.5),1,0.6950
Cora,cluster-flat (2.0/0.5),2,0.7010
Cora,cluster-flat (2.0/0.5),3,0.6990
Cora,cluster-flat (2.0/0.5),4,0.6800
